orderNumber,customerName,customerEmail,deliveryDate,totalAmount,currency,status,shippingAddress
SO-2024-0016,Omega Chemicals,ops@omegachemicals.com,2024-08-05,12900.95,JPY,CONFIRMED,"924 Station Rd, London EC1A 1BB, UK"
SO-2024-0017,MegaTech Inc,info@megatechinc.com,,49095.56,USD,CANCELLED,"98 High St, Chennai, Tamil Nadu 600001, India"
SO-2024-0018,Frontier Agriculture,purchase@frontieragriculture.com,,20105.26,EUR,CANCELLED,"732 High St, New York, NY 10001, USA"
SO-2024-0019,RedOak Industries,ops@redoakindustries.com,,94000.15,INR,CANCELLED,"448 Station Rd, Toronto, ON M5A 1A1, Canada"
SO-2024-0020,CoreBridge Solutions,info@corebridgesolutions.com,2024-06-08,24720.88,USD,DELIVERED,"316 High St, Munich 80331, Germany"
SO-2024-0021,Nordic Supplies AB,procurement@nordicsuppliesab.com,2025-05-27,30785.14,USD,SHIPPED,"458 Business Ave, Manchester M1 1AA, UK"
SO-2024-0022,Neptune Fisheries,orders@neptunefisheries.com,2024-05-24,46759.22,EUR,SHIPPED,"978 Business Ave, Manchester M1 1AA, UK"
SO-2024-0023,Falcon Aerospace,procurement@falconaerospace.com,2024-01-26,79407.55,USD,DELIVERED,"684 Park Ave, Munich 80331, Germany"
SO-2024-0024,RedOak Industries,admin@redoakindustries.com,2024-02-03,29460.23,CAD,DELIVERED,"469 King St, Boston, MA 02101, USA"
SO-2024-0025,RedOak Industries,admin@redoakindustries.com,2024-02-03,38021.85,EUR,DELIVERED,"246 King St, Sydney, NSW 2000, Australia"
SO-2024-0026,JetStream Aviation,info@jetstreamaviation.com,2024-12-01,34512.51,USD,SHIPPED,"404 Tech Park Rd, London EC1A 1BB, UK"
SO-2024-0027,Eclipse Media,orders@eclipsemedia.com,2024-04-05,34081.58,USD,DELIVERED,"213 Victoria Rd, Seattle, WA 98101, USA"
SO-2024-0028,CloudNine Services,sales@cloudnineservices.com,2024-02-26,96220.44,AUD,SHIPPED,"641 Commerce Blvd, San Francisco, CA 94105, USA"
SO-2024-0029,Phoenix Recycling,admin@phoenixrecycling.com,,20354.17,CAD,CANCELLED,"552 Harbor Blvd, Miami, FL 33101, USA"
SO-2024-0030,Cascade Energy,info@cascadeenergy.com,2024-01-23,50587.45,USD,SHIPPED,"382 Innovation Dr, Toronto, ON M5A 1A1, Canada"
SO-2024-0031,Sapphire Financial,procurement@sapphirefinancial.com,2025-01-25,72374.09,USD,SHIPPED,"361 King St, Tokyo 100-0001, Japan"
SO-2024-0032,Horizon Textiles,admin@horizontextiles.com,2025-04-02,24857.36,EUR,DELIVERED,"708 High St, Singapore 048583, Singapore"
SO-2024-0033,Evergreen Foods,admin@evergreenfoods.com,2025-03-09,12480.60,GBP,CONFIRMED,"896 High St, San Francisco, CA 94105, USA"
SO-2024-0034,Delta Systems,admin@deltasystems.com,2024-04-03,73248.71,CAD,PENDING,"57 Commerce Blvd, Dubai 00000, UAE"
SO-2024-0035,PrimePath Consulting,info@primepathconsulting.com,2024-11-07,81511.04,USD,DELIVERED,"606 Tech Park Rd, Manchester M1 1AA, UK"
SO-2024-0036,Trident Pharma,orders@tridentpharma.com,2024-06-10,23960.17,CAD,SHIPPED,"356 Warehouse Rd, Austin, TX 73301, USA"
SO-2024-0037,GreenLeaf Organics,orders@greenleaforganics.com,2024-08-15,71326.74,EUR,CONFIRMED,"287 Maple Dr, Chicago, IL 60601, USA"
SO-2024-0038,Delta Systems,purchase@deltasystems.com,2025-03-14,55486.84,USD,DELIVERED,"590 Central Ave, Houston, TX 77001, USA"
SO-2024-0039,Zenith Electronics,sales@zenithelectronics.com,2024-12-02,47700.60,EUR,DELIVERED,"751 Industrial Way, Singapore 048583, Singapore"
SO-2024-0040,TechStart India,supply@techstartindia.com,2024-02-20,76712.48,INR,CONFIRMED,"712 Business Ave, Munich 80331, Germany"
SO-2024-0041,Nordic Supplies AB,ops@nordicsuppliesab.com,2024-07-05,36887.58,INR,CONFIRMED,"725 Central Ave, Paris 75001, France"
SO-2024-0042,Keystone Construction,supply@keystoneconstruction.com,2024-11-27,37235.94,GBP,CONFIRMED,"498 Industrial Way, Berlin 10115, Germany"
SO-2024-0043,Quantum Retail,info@quantumretail.com,2025-02-08,71782.72,USD,DELIVERED,"754 Station Rd, Singapore 048583, Singapore"
SO-2024-0044,SilverLine Transport,purchase@silverlinetransport.com,2025-04-26,91299.49,EUR,SHIPPED,"344 Market St, Sydney, NSW 2000, Australia"
SO-2024-0045,Nordic Supplies AB,ops@nordicsuppliesab.com,2025-03-21,44880.94,EUR,SHIPPED,"147 Innovation Dr, Munich 80331, Germany"
SO-2024-0046,BrightPath Labs,purchase@brightpathlabs.com,2024-10-30,98710.02,USD,DELIVERED,"61 Harbor Blvd, New York, NY 10001, USA"
SO-2024-0047,Dynamo Sports,orders@dynamosports.com,2024-09-15,2948.63,CAD,SHIPPED,"324 Harbor Blvd, Delhi, Delhi 110001, India"
SO-2024-0048,Keystone Construction,info@keystoneconstruction.com,2024-12-27,29755.86,USD,SHIPPED,"565 Main St, Dubai 00000, UAE"
SO-2024-0049,Pinnacle Group,procurement@pinnaclegroup.com,,61347.95,USD,CANCELLED,"139 Park Ave, New York, NY 10001, USA"
SO-2024-0050,Trident Pharma,orders@tridentpharma.com,,77176.78,SGD,CANCELLED,"53 Oak St, Hyderabad, Telangana 500001, India"
SO-2024-0051,Infoway Solutions,ops@infowaysolutions.com,2025-04-15,38102.05,USD,DELIVERED,"11 Maple Dr, Munich 80331, Germany"
SO-2024-0052,Vanguard Motors,admin@vanguardmotors.com,2025-06-14,41174.11,INR,DELIVERED,"347 Warehouse Rd, Houston, TX 77001, USA"
SO-2024-0053,GreenLeaf Organics,ops@greenleaforganics.com,2024-04-14,35046.10,USD,DELIVERED,"636 Queen St, Dubai 00000, UAE"
SO-2024-0054,BrightPath Labs,orders@brightpathlabs.com,2024-10-25,73801.22,EUR,DELIVERED,"929 Market St, Mumbai, Maharashtra 400001, India"
SO-2024-0055,Mosaic Designs,sales@mosaicdesigns.com,,77438.96,CAD,CANCELLED,"650 High St, San Francisco, CA 94105, USA"
SO-2024-0056,Global Traders Ltd,info@globaltradersltd.com,2025-01-03,65332.64,GBP,PENDING,"517 Market St, Hyderabad, Telangana 500001, India"
SO-2024-0057,Quantum Retail,sales@quantumretail.com,2024-05-22,86732.44,USD,DELIVERED,"74 Maple Dr, Boston, MA 02101, USA"
SO-2024-0058,PrimePath Consulting,sales@primepathconsulting.com,2025-03-02,56844.14,USD,DELIVERED,"215 Harbor Blvd, Delhi, Delhi 110001, India"
SO-2024-0059,Delta Systems,ops@deltasystems.com,2024-05-19,73669.57,USD,SHIPPED,"246 Harbor Blvd, Bangalore, Karnataka 560001, India"
SO-2024-0060,ClearView Optics,orders@clearviewoptics.com,,81883.90,EUR,CANCELLED,"782 High St, Paris 75001, France"
SO-2024-0061,CoreBridge Solutions,info@corebridgesolutions.com,2024-01-27,17499.37,USD,PENDING,"626 Victoria Rd, Tokyo 100-0001, Japan"
SO-2024-0062,Ironclad Security,orders@ironcladsecurity.com,2024-05-14,70734.98,INR,SHIPPED,"697 Harbor Blvd, Munich 80331, Germany"
SO-2024-0063,Harbor Marine,sales@harbormarine.com,2025-05-02,25156.82,USD,PENDING,"659 Commerce Blvd, Manchester M1 1AA, UK"
SO-2024-0064,Phoenix Recycling,procurement@phoenixrecycling.com,2025-01-20,35100.78,AUD,PENDING,"4 Enterprise Ln, New York, NY 10001, USA"
SO-2024-0065,MegaTech Inc,info@megatechinc.com,,17703.24,EUR,CANCELLED,"608 Business Ave, Singapore 048583, Singapore"
SO-2024-0066,Frontier Agriculture,ops@frontieragriculture.com,2024-12-06,65735.32,USD,DELIVERED,"5 Victoria Rd, Bangalore, Karnataka 560001, India"
SO-2024-0067,Vertex Analytics,supply@vertexanalytics.com,2024-09-17,87142.95,USD,DELIVERED,"392 Main St, Munich 80331, Germany"
SO-2024-0068,Summit Healthcare,supply@summithealthcare.com,2025-03-28,84918.86,INR,SHIPPED,"622 River Rd, Manchester M1 1AA, UK"
SO-2024-0069,WildTrail Outdoors,procurement@wildtrailoutdoors.com,2025-05-21,70896.51,AUD,SHIPPED,"321 Station Rd, Denver, CO 80201, USA"
SO-2024-0070,Pinnacle Group,procurement@pinnaclegroup.com,2024-12-31,27806.61,CAD,DELIVERED,"70 King St, Berlin 10115, Germany"
SO-2024-0071,Dynamo Sports,info@dynamosports.com,2025-01-04,27661.85,USD,CONFIRMED,"330 Market St, Austin, TX 73301, USA"
SO-2024-0072,SilverLine Transport,orders@silverlinetransport.com,2025-01-08,41250.14,USD,CONFIRMED,"7 Market St, San Francisco, CA 94105, USA"
SO-2024-0073,Orbit Digital,supply@orbitdigital.com,,24356.79,USD,CANCELLED,"338 Oak St, Paris 75001, France"
SO-2024-0074,Sunrise Retail,ops@sunriseretail.com,2025-02-05,47282.26,SGD,PENDING,"230 Queen St, Berlin 10115, Germany"
SO-2024-0075,Maple Creek Farms,sales@maplecreekfarms.com,2025-01-08,71967.15,EUR,SHIPPED,"148 Queen St, Mumbai, Maharashtra 400001, India"
SO-2024-0076,Sunrise Retail,sales@sunriseretail.com,2025-03-03,41782.91,USD,DELIVERED,"485 Station Rd, Seattle, WA 98101, USA"
SO-2024-0077,Zenith Electronics,supply@zenithelectronics.com,,76822.46,USD,CANCELLED,"26 Park Ave, London EC1A 1BB, UK"
SO-2024-0078,Atlas Engineering,purchase@atlasengineering.com,2024-03-18,89991.09,GBP,DELIVERED,"688 River Rd, Boston, MA 02101, USA"
SO-2024-0079,Eclipse Media,purchase@eclipsemedia.com,2025-03-07,55420.21,USD,SHIPPED,"588 Business Ave, Denver, CO 80201, USA"
SO-2024-0080,Omega Chemicals,purchase@omegachemicals.com,,82859.04,USD,CANCELLED,"676 Commerce Blvd, Seattle, WA 98101, USA"
SO-2024-0081,Vertex Analytics,info@vertexanalytics.com,2024-12-20,95179.49,USD,SHIPPED,"21 Maple Dr, San Francisco, CA 94105, USA"
SO-2024-0082,BlueWave Logistics,orders@bluewavelogistics.com,2024-05-02,93485.88,AUD,PENDING,"831 Station Rd, Berlin 10115, Germany"
SO-2024-0083,GreenLeaf Organics,info@greenleaforganics.com,2025-06-07,68422.50,USD,PENDING,"109 Queen St, Austin, TX 73301, USA"
SO-2024-0084,Harbor Marine,ops@harbormarine.com,2024-06-16,79855.34,SGD,CONFIRMED,"406 Market St, Boston, MA 02101, USA"
SO-2024-0085,Delta Systems,orders@deltasystems.com,2024-08-04,80521.04,INR,DELIVERED,"895 Industrial Way, Toronto, ON M5A 1A1, Canada"
SO-2024-0086,Sapphire Financial,orders@sapphirefinancial.com,2024-04-21,59692.27,USD,PENDING,"287 Business Ave, Munich 80331, Germany"
SO-2024-0087,Lumen Lighting,sales@lumenlighting.com,2025-05-31,69021.62,USD,SHIPPED,"407 Business Ave, Toronto, ON M5A 1A1, Canada"
SO-2024-0088,Trident Pharma,procurement@tridentpharma.com,2024-12-06,50404.35,USD,DELIVERED,"936 River Rd, San Francisco, CA 94105, USA"
SO-2024-0089,PrimePath Consulting,admin@primepathconsulting.com,2024-08-27,18389.28,USD,DELIVERED,"519 Warehouse Rd, Singapore 048583, Singapore"
SO-2024-0090,Cascade Energy,info@cascadeenergy.com,2025-03-18,86690.13,USD,PENDING,"989 Industrial Way, Miami, FL 33101, USA"
SO-2024-0091,RedOak Industries,procurement@redoakindustries.com,2025-05-11,58798.18,USD,PENDING,"664 Harbor Blvd, Chicago, IL 60601, USA"
SO-2024-0092,Sapphire Financial,ops@sapphirefinancial.com,2024-08-20,11326.10,AUD,SHIPPED,"729 Central Ave, Mumbai, Maharashtra 400001, India"
SO-2024-0093,Cascade Energy,purchase@cascadeenergy.com,2025-04-20,5728.20,JPY,SHIPPED,"25 Commerce Blvd, Mumbai, Maharashtra 400001, India"
SO-2024-0094,Summit Healthcare,sales@summithealthcare.com,2025-06-07,96078.58,INR,CONFIRMED,"711 Maple Dr, Sydney, NSW 2000, Australia"
SO-2024-0095,CoreBridge Solutions,orders@corebridgesolutions.com,2024-08-04,48158.14,JPY,PENDING,"264 King St, Tokyo 100-0001, Japan"
SO-2024-0096,Eclipse Media,info@eclipsemedia.com,2024-11-25,13512.82,USD,DELIVERED,"536 Tech Park Rd, Chicago, IL 60601, USA"
SO-2024-0097,RedOak Industries,orders@redoakindustries.com,2024-09-03,71122.87,USD,DELIVERED,"528 Enterprise Ln, Toronto, ON M5A 1A1, Canada"
SO-2024-0098,Mosaic Designs,orders@mosaicdesigns.com,2025-01-30,36433.64,EUR,DELIVERED,"706 Park Ave, Berlin 10115, Germany"
SO-2024-0099,Global Traders Ltd,admin@globaltradersltd.com,2024-10-03,37420.67,EUR,DELIVERED,"750 Station Rd, Toronto, ON M5A 1A1, Canada"
SO-2024-0100,Acme Corporation,sales@acmecorporation.com,2024-12-24,44042.95,AUD,CONFIRMED,"481 Warehouse Rd, San Francisco, CA 94105, USA"
SO-2024-0101,Delta Systems,info@deltasystems.com,2025-04-08,13961.33,USD,CONFIRMED,"16 High St, Paris 75001, France"
SO-2024-0102,WildTrail Outdoors,sales@wildtrailoutdoors.com,2025-02-14,84789.13,INR,DELIVERED,"698 Central Ave, Bangalore, Karnataka 560001, India"
SO-2024-0103,Atlas Engineering,ops@atlasengineering.com,2024-11-28,84247.62,GBP,CONFIRMED,"408 Harbor Blvd, Tokyo 100-0001, Japan"
SO-2024-0104,Omega Chemicals,supply@omegachemicals.com,2025-01-15,45298.48,GBP,DELIVERED,"507 Main St, Chicago, IL 60601, USA"
SO-2024-0105,JetStream Aviation,supply@jetstreamaviation.com,,9551.92,EUR,CANCELLED,"933 Harbor Blvd, Hyderabad, Telangana 500001, India"
SO-2024-0106,Acme Corporation,sales@acmecorporation.com,2025-05-26,70388.80,USD,PENDING,"676 Business Ave, Munich 80331, Germany"
SO-2024-0107,NovaStar Tech,sales@novastartech.com,2024-07-09,48314.56,USD,DELIVERED,"481 Innovation Dr, Munich 80331, Germany"
SO-2024-0108,Falcon Aerospace,purchase@falconaerospace.com,2024-03-25,36332.53,CAD,PENDING,"401 Market St, San Francisco, CA 94105, USA"
SO-2024-0109,Falcon Aerospace,supply@falconaerospace.com,2024-08-18,57556.60,USD,PENDING,"25 Enterprise Ln, Singapore 048583, Singapore"
SO-2024-0110,Evergreen Foods,admin@evergreenfoods.com,2024-10-08,20919.44,EUR,DELIVERED,"689 Industrial Way, Paris 75001, France"
SO-2024-0111,Omega Chemicals,orders@omegachemicals.com,2024-01-30,73522.91,USD,SHIPPED,"573 Queen St, New York, NY 10001, USA"
SO-2024-0112,BrightPath Labs,orders@brightpathlabs.com,2024-03-08,71881.84,SGD,PENDING,"311 Warehouse Rd, Sydney, NSW 2000, Australia"
SO-2024-0113,Neptune Fisheries,orders@neptunefisheries.com,2024-09-06,9401.81,USD,DELIVERED,"219 King St, Dubai 00000, UAE"
SO-2024-0114,Atlas Engineering,purchase@atlasengineering.com,2024-01-16,70004.27,USD,SHIPPED,"33 Business Ave, Austin, TX 73301, USA"
SO-2024-0115,Apex Innovations,sales@apexinnovations.com,2025-02-05,27452.49,USD,SHIPPED,"312 Central Ave, London EC1A 1BB, UK"
SO-2024-0116,Beacon Software,purchase@beaconsoftware.com,2024-07-15,60820.52,EUR,SHIPPED,"561 Industrial Way, Miami, FL 33101, USA"
SO-2024-0117,PrimePath Consulting,sales@primepathconsulting.com,2025-01-31,67939.32,USD,CONFIRMED,"397 Main St, Manchester M1 1AA, UK"
SO-2024-0118,Infoway Solutions,orders@infowaysolutions.com,2024-08-21,24722.73,AUD,DELIVERED,"44 Innovation Dr, Manchester M1 1AA, UK"
SO-2024-0119,GreenLeaf Organics,sales@greenleaforganics.com,2024-11-21,54876.51,GBP,CONFIRMED,"435 Park Ave, Munich 80331, Germany"
SO-2024-0120,Summit Healthcare,admin@summithealthcare.com,,35139.20,USD,CANCELLED,"941 Queen St, Bangalore, Karnataka 560001, India"
SO-2024-0121,SilverLine Transport,supply@silverlinetransport.com,2024-02-03,85314.13,USD,SHIPPED,"145 Market St, London EC1A 1BB, UK"
SO-2024-0122,Global Traders Ltd,orders@globaltradersltd.com,2024-05-09,13467.37,INR,DELIVERED,"190 Oak St, Mumbai, Maharashtra 400001, India"
SO-2024-0123,Vertex Analytics,ops@vertexanalytics.com,2025-01-09,1116.92,EUR,DELIVERED,"852 Warehouse Rd, London EC1A 1BB, UK"
SO-2024-0124,Atlas Engineering,sales@atlasengineering.com,2024-08-14,68750.37,EUR,CONFIRMED,"674 Station Rd, Singapore 048583, Singapore"
SO-2024-0125,Phoenix Recycling,info@phoenixrecycling.com,2024-04-02,68471.85,USD,SHIPPED,"511 Enterprise Ln, Bangalore, Karnataka 560001, India"
SO-2024-0126,Evergreen Foods,sales@evergreenfoods.com,2025-01-18,63069.63,USD,CONFIRMED,"720 Main St, San Francisco, CA 94105, USA"
SO-2024-0127,Frontier Agriculture,purchase@frontieragriculture.com,2024-03-07,2503.89,EUR,DELIVERED,"438 Park Ave, Sydney, NSW 2000, Australia"
SO-2024-0128,Ironclad Security,procurement@ironcladsecurity.com,2024-12-08,5562.95,USD,DELIVERED,"159 Queen St, Austin, TX 73301, USA"
SO-2024-0129,Sapphire Financial,procurement@sapphirefinancial.com,2024-05-09,85442.55,INR,PENDING,"149 Central Ave, Boston, MA 02101, USA"
SO-2024-0130,Phoenix Recycling,purchase@phoenixrecycling.com,2025-01-01,45316.63,USD,PENDING,"634 Maple Dr, Dubai 00000, UAE"
SO-2024-0131,Frontier Agriculture,procurement@frontieragriculture.com,2024-07-23,64177.85,USD,SHIPPED,"917 Industrial Way, Miami, FL 33101, USA"
SO-2024-0132,BlueWave Logistics,sales@bluewavelogistics.com,,1963.11,EUR,CANCELLED,"311 Harbor Blvd, Denver, CO 80201, USA"
SO-2024-0133,Keystone Construction,procurement@keystoneconstruction.com,2024-06-11,17184.13,USD,CONFIRMED,"60 Park Ave, Bangalore, Karnataka 560001, India"
SO-2024-0134,Frontier Agriculture,ops@frontieragriculture.com,2024-02-06,76214.20,USD,SHIPPED,"393 Harbor Blvd, Manchester M1 1AA, UK"
SO-2024-0135,Atlas Engineering,supply@atlasengineering.com,,61129.49,EUR,CANCELLED,"222 Central Ave, Sydney, NSW 2000, Australia"
SO-2024-0136,Vanguard Motors,info@vanguardmotors.com,2024-02-08,34338.75,INR,CONFIRMED,"925 Market St, Berlin 10115, Germany"
SO-2024-0137,Trident Pharma,orders@tridentpharma.com,2024-09-25,11938.71,USD,CONFIRMED,"150 Tech Park Rd, Mumbai, Maharashtra 400001, India"
SO-2024-0138,Nordic Supplies AB,sales@nordicsuppliesab.com,2024-01-31,24837.18,INR,DELIVERED,"920 Central Ave, Tokyo 100-0001, Japan"
SO-2024-0139,Sunrise Retail,ops@sunriseretail.com,2024-02-15,50781.90,GBP,SHIPPED,"71 Innovation Dr, Chennai, Tamil Nadu 600001, India"
SO-2024-0140,BlueWave Logistics,info@bluewavelogistics.com,2024-10-01,19791.26,EUR,PENDING,"175 Tech Park Rd, Mumbai, Maharashtra 400001, India"
SO-2024-0141,Eclipse Media,procurement@eclipsemedia.com,2025-01-06,13656.90,USD,DELIVERED,"286 Enterprise Ln, Seattle, WA 98101, USA"
SO-2024-0142,Falcon Aerospace,admin@falconaerospace.com,2024-03-09,25482.70,USD,DELIVERED,"139 Market St, Tokyo 100-0001, Japan"
SO-2024-0143,Vanguard Motors,purchase@vanguardmotors.com,2025-06-13,8918.30,USD,SHIPPED,"49 Business Ave, Denver, CO 80201, USA"
SO-2024-0144,Mosaic Designs,procurement@mosaicdesigns.com,2024-12-16,98227.06,USD,DELIVERED,"812 Warehouse Rd, Miami, FL 33101, USA"
SO-2024-0145,Summit Healthcare,orders@summithealthcare.com,2024-08-18,83370.22,AUD,DELIVERED,"781 Market St, Austin, TX 73301, USA"
SO-2024-0146,Pacific Imports Co,sales@pacificimportsco.com,2025-04-17,37430.68,EUR,PENDING,"378 River Rd, Chennai, Tamil Nadu 600001, India"
SO-2024-0147,Zenith Electronics,orders@zenithelectronics.com,2025-06-02,84413.29,USD,PENDING,"467 Innovation Dr, New York, NY 10001, USA"
SO-2024-0148,Harbor Marine,info@harbormarine.com,2024-07-20,76360.45,USD,DELIVERED,"295 Station Rd, Tokyo 100-0001, Japan"
SO-2024-0149,Phoenix Recycling,procurement@phoenixrecycling.com,2025-04-23,12472.53,USD,PENDING,"502 Harbor Blvd, Houston, TX 77001, USA"
SO-2024-0150,Eclipse Media,admin@eclipsemedia.com,2025-05-18,3923.95,CAD,DELIVERED,"999 High St, New York, NY 10001, USA"
SO-2024-0151,Ironclad Security,procurement@ironcladsecurity.com,2025-01-15,57141.36,EUR,SHIPPED,"365 Market St, New York, NY 10001, USA"
SO-2024-0152,Ivory Tower Publishing,procurement@ivorytowerpublishing.com,2024-10-13,71143.98,AUD,PENDING,"288 Harbor Blvd, Delhi, Delhi 110001, India"
SO-2024-0153,ClearView Optics,procurement@clearviewoptics.com,2024-12-03,67611.11,USD,DELIVERED,"859 Warehouse Rd, Berlin 10115, Germany"
SO-2024-0154,Orbit Digital,admin@orbitdigital.com,2024-09-16,95472.14,EUR,DELIVERED,"718 Enterprise Ln, Boston, MA 02101, USA"
SO-2024-0155,NovaStar Tech,sales@novastartech.com,2024-05-30,67819.88,USD,SHIPPED,"458 Maple Dr, Paris 75001, France"
SO-2024-0156,Mosaic Designs,sales@mosaicdesigns.com,2024-04-01,93283.96,INR,DELIVERED,"908 Enterprise Ln, Mumbai, Maharashtra 400001, India"
SO-2024-0157,Frontier Agriculture,admin@frontieragriculture.com,2025-05-13,81048.44,EUR,SHIPPED,"626 Victoria Rd, Manchester M1 1AA, UK"
SO-2024-0158,Phoenix Recycling,admin@phoenixrecycling.com,2025-04-18,60384.69,AUD,DELIVERED,"776 River Rd, Delhi, Delhi 110001, India"
SO-2024-0159,Sapphire Financial,sales@sapphirefinancial.com,2024-01-21,42899.75,GBP,CONFIRMED,"386 Innovation Dr, Toronto, ON M5A 1A1, Canada"
SO-2024-0160,TechStart India,orders@techstartindia.com,2024-06-17,96162.24,GBP,DELIVERED,"673 Commerce Blvd, Chennai, Tamil Nadu 600001, India"
SO-2024-0161,Vanguard Motors,orders@vanguardmotors.com,2024-01-21,37647.78,USD,SHIPPED,"579 Queen St, Austin, TX 73301, USA"
SO-2024-0162,Acme Corporation,info@acmecorporation.com,2024-10-24,61463.23,JPY,PENDING,"300 High St, San Francisco, CA 94105, USA"
SO-2024-0163,Keystone Construction,admin@keystoneconstruction.com,2024-06-10,2655.75,USD,CONFIRMED,"267 Enterprise Ln, Paris 75001, France"
SO-2024-0164,NovaStar Tech,orders@novastartech.com,2025-05-03,66929.29,USD,SHIPPED,"217 Park Ave, Sydney, NSW 2000, Australia"
SO-2024-0165,Vertex Analytics,orders@vertexanalytics.com,,84930.24,INR,CANCELLED,"424 Victoria Rd, Singapore 048583, Singapore"
SO-2024-0166,Ironclad Security,supply@ironcladsecurity.com,2024-08-20,66735.48,USD,DELIVERED,"322 Tech Park Rd, Chicago, IL 60601, USA"
SO-2024-0167,Mosaic Designs,procurement@mosaicdesigns.com,2024-01-25,46783.58,INR,PENDING,"126 Tech Park Rd, Singapore 048583, Singapore"
SO-2024-0168,Eclipse Media,purchase@eclipsemedia.com,2024-11-03,11720.63,USD,CONFIRMED,"369 Main St, New York, NY 10001, USA"
SO-2024-0169,Summit Healthcare,procurement@summithealthcare.com,2024-04-23,76284.73,GBP,DELIVERED,"517 Innovation Dr, Denver, CO 80201, USA"
SO-2024-0170,Infoway Solutions,ops@infowaysolutions.com,2025-05-07,90408.05,AUD,CONFIRMED,"421 Maple Dr, New York, NY 10001, USA"
SO-2024-0171,Pacific Imports Co,orders@pacificimportsco.com,2025-05-19,46877.83,CAD,DELIVERED,"952 Queen St, Seattle, WA 98101, USA"
SO-2024-0172,Falcon Aerospace,procurement@falconaerospace.com,2024-02-01,18157.23,EUR,DELIVERED,"805 Queen St, San Francisco, CA 94105, USA"
SO-2024-0173,NovaStar Tech,procurement@novastartech.com,2024-12-15,60999.02,USD,DELIVERED,"993 Business Ave, Chennai, Tamil Nadu 600001, India"
SO-2024-0174,Beacon Software,purchase@beaconsoftware.com,2024-02-07,57168.40,GBP,SHIPPED,"730 King St, Denver, CO 80201, USA"
SO-2024-0175,Zenith Electronics,purchase@zenithelectronics.com,2024-04-03,16035.13,USD,DELIVERED,"372 Innovation Dr, Miami, FL 33101, USA"
SO-2024-0176,Vertex Analytics,orders@vertexanalytics.com,2024-07-27,20600.07,USD,CONFIRMED,"752 King St, Toronto, ON M5A 1A1, Canada"
SO-2024-0177,BrightPath Labs,ops@brightpathlabs.com,2025-03-31,57311.71,USD,DELIVERED,"815 Main St, Chennai, Tamil Nadu 600001, India"
SO-2024-0178,Eclipse Media,admin@eclipsemedia.com,2024-06-23,78861.89,JPY,CONFIRMED,"913 King St, Chennai, Tamil Nadu 600001, India"
SO-2024-0179,Neptune Fisheries,supply@neptunefisheries.com,2024-05-15,24712.73,USD,PENDING,"369 High St, Mumbai, Maharashtra 400001, India"
SO-2024-0180,Nordic Supplies AB,supply@nordicsuppliesab.com,2025-04-02,6818.12,AUD,SHIPPED,"793 Warehouse Rd, Munich 80331, Germany"
